model,pr_auc,pr_auc_lift,roc_auc,precision,recall,f1,accuracy,tp,fp,fn,flagged,threshold
logistic,0.2926507736282447,3.028547313010433,0.6940869365686206,0.4811111111111111,0.23443421765024364,0.3152530032763014,0.9015904572564613,433,467,1414,900,0.7386434134581555
random_forest,0.29906253620399004,3.094900550624291,0.6708951786221743,0.4966442953020134,0.24038982133188955,0.3239693542502736,0.9030553520979386,444,450,1403,894,0.6508351347370293
xgboost,0.3089611599704791,3.1973381763268747,0.6878949424198413,0.4755859375,0.2636708175419599,0.3392546151166841,0.9007533744899027,487,537,1360,1024,0.7275488513088106
