,MAE,RMSE,MAPE,sMAPE,vs_seasonal_naive,MAE_pct_of_median
sarima,4452.268998921191,5712.729303094091,15.54769628952368,16.80945006568667,0.868,21.9
seasonal_naive,5126.868866666667,6470.612898978608,19.15913873859975,19.970588699592042,1.0,25.2
moving_avg_7,5588.861685714286,6856.545710355987,19.89513682894028,20.457469230248726,1.09,27.5
gbm_lags,5938.831227014913,7774.094822965484,21.586292479397265,20.705952416660804,1.158,29.2
naive_last,6078.106866666667,7546.024289551458,21.845044441831146,22.500487892973315,1.186,29.9
moving_avg_28,7226.0937476190475,8744.932477014412,23.661690788304504,26.56873858126183,1.409,35.5
ridge_lags,8119.293839508735,9666.900798710678,33.24470554093243,26.170890262457306,1.584,39.9
