model,precision@10,recall@10,MAP@10,NDCG@10,coverage,queries,no_recs
content,0.03713592233009709,0.22481940591770685,0.12359506977008712,0.1583615900825782,0.17556371582046068,824,0
hybrid,0.0287621359223301,0.16823903914316535,0.08714696780815885,0.11456330468164481,0.1317107219811235,824,0
collaborative,0.008980582524271846,0.06179207119741101,0.029886394282632144,0.040271497730581175,0.0212133167430427,824,0
category_popularity,0.005218446601941748,0.042556634304207114,0.012583940129449838,0.02024499870348274,0.014445692088252254,824,0
popularity,0.0008495145631067961,0.004530744336569579,0.0009688511326860842,0.0021279726222651913,0.0003338290188461655,824,0
