model,F1,ROC_AUC,PR_AUC,accuracy
tfidf_linearsvc,0.8760846928149948,0.9755983175923839,0.9288270807158924,0.93047711781889
tfidf_word_logreg,0.8711738984191053,0.9752907570717514,0.9209440880601639,0.9254138266796494
tfidf_word_keepstop,0.8696817420435511,0.9772105535388823,0.9317278244859885,0.9242453748782863
tfidf_char_logreg,0.8635601743211532,0.9750361269286019,0.9262614327972599,0.9207400194741967
lsa300_histgbm,0.8452296819787986,0.9680625496952028,0.9070599044243628,0.9147030185004869
majority_baseline,0.0,0.5,0.265238558909445,0.734761441090555
