model,pr_auc,pr_auc_lift,roc_auc,precision,recall,f1,accuracy,tp,fp,fn,flagged,threshold
logistic,0.021230097847423662,1.309380629400562,0.5659461867212424,0.02386634844868735,0.10810810810810811,0.039100684261974585,0.9138475021910605,20,818,165,838,0.600681092875833
random_forest,0.021335244359615136,1.3158656115849119,0.554125564317101,0.021108922037714608,0.40540540540540543,0.04012841091492777,0.6855390008764242,75,3478,110,3553,0.4548019754331106
xgboost,0.019398975441849774,1.196444917791924,0.5540032504665021,0.021939136588818117,0.16756756756756758,0.03879849812265332,0.8653812445223488,31,1382,154,1413,0.43925328684572
