cluster,customers,median_revenue,median_recency_days,mean_orders,mean_items,median_freight_ratio,median_delivery_days,mean_review,median_installments,pct_customers,pct_revenue
0,17810,25.369999999999997,225.3784375,1.0000561482313308,1.0809657495788882,0.6038749999999999,10.097800925925927,4.3162861663652805,1.0,18.8,3.6
1,17571,239.0,242.65538194444446,1.0000569119572023,1.2863240566843093,0.10531270224157203,10.518865740740742,4.391725048811301,7.0,18.5,45.8
2,2877,181.9,201.60758101851852,2.1143552311435525,2.573514077163712,0.25549399193644207,10.984186921296295,4.166188207035487,2.5,3.0,5.5
3,11667,99.98,217.4904398148148,1.0001714236736092,1.255421273677895,0.22765321375186845,21.836956018518517,1.7078274347713769,2.0,12.3,11.9
4,1635,94.5,272.47246527777776,1.003058103975535,1.1051987767584097,0.20976605234368428,,1.7882882882882882,2.0,1.7,2.0
5,43426,85.0,211.38780092592594,1.0000230276792705,1.0682310136784414,0.20327198364008178,9.001631944444444,4.646221933869361,1.0,45.7,31.2
